"","Child","X","layer","age","aq","priorByMean","priorByStd","priorByMaxmin","MeanCompl","MeanMeaning","MeanTracing","MeanColoring","MeanScribble"
"41","P31",246,2,60,24.4897959183673,0.737255286896823,0.343092924775227,1.0601260125972,60.7777777777778,68.7777777777778,19.0740740740741,20.2592592592593,23.5925925925926
"42","P32",247,2,68,11.2244897959184,0.749413078405036,0.439795672175746,1.40156184546851,38.55,38.3,21.5666666666667,33.6,48.9166666666667
"43","P33",248,2,67,23.6842105263158,0.602808635671519,0.256414818880285,0.815505080222752,29.0333333333333,70.2666666666667,27.9333333333333,80.7,16.7
"44","P34",249,2,46,26.530612244898,0.730759155312257,0.326977155682402,1.15644139847368,33.5178571428571,50.8571428571429,35.1071428571429,16.8928571428571,26.4464285714286
"45","P35",250,2,61,33,0.710291550948668,0.259113170308992,0.976238125594273,19,72.7666666666667,15.6333333333333,81.2,13.7666666666667
"46","P36",251,2,52,15,0.932889390737877,0.460219535669301,1.40742680880977,31.6896551724138,58.8620689655172,26.9655172413793,59.5862068965517,32.7241379310345
"47","P39",252,2,50,11.2244897959184,0.925243358155683,0.389909976525656,1.25348497498764,57.3,59.7666666666667,15.0333333333333,21.9,31.0333333333333
"48","P41",253,2,48,10,0.714816742287411,0.438253501751456,1.34850454564294,32.2833333333333,47.6666666666667,27.4333333333333,14.4666666666667,28.85
"49","P42",254,2,51,7,0.632161426068493,0.312260092544361,0.737950525656463,26.7666666666667,65.6,30.4666666666667,81.3333333333333,28.5
"50","P43",255,2,61,13.6363636363636,0.424114233882072,0.261761408429711,0.869399472439206,33.8965517241379,47.7586206896552,21.9655172413793,47.7586206896552,38.051724137931
"51","P44",256,2,38,22,0.571715023143202,0.238809725512732,0.861567168583775,22.8620689655172,27.2758620689655,19.551724137931,37.0344827586207,49.7241379310345
"52","P45",257,2,36,20,0.983554552469712,0.384059511555666,1.23706668437174,24.0862068965517,43.6896551724138,45.2068965517241,47.5172413793103,33.6896551724138
