,layer,Child,age,aq,priorByMean,priorByStd,priorByMaxmin
33,0.0,P24,65,21.0,0.6133597168443751,0.18513262958336388,0.7220882155680752
34,0.0,P25,41,17.0454545454545,0.3389349505053781,0.1376350643488611,0.43257010772839033
35,0.0,P26,56,15.555555555555598,0.5631580095951806,0.13225124090676293,0.47083568072130133
36,0.0,P27,55,10.4166666666667,0.46251753003357815,0.1347305419958317,0.4844257116596179
37,0.0,P28,66,7.0,0.8731894655253342,0.26221488636682266,0.7326215912941667
38,0.0,P29,66,11.0,0.8325374642439598,0.39337310561750377,1.0430984578498264
39,0.0,P30,89,16.0,0.6062812995129655,0.15689394920599567,0.6570272598628998
40,0.0,P31,60,24.4897959183673,0.6997714634191042,0.21320218542749506,0.8783389632632901
41,0.0,P32,68,11.2244897959184,0.7514868837825232,0.2797937448951312,0.8689811493582078
42,0.0,P33,67,23.6842105263158,0.5129710611832622,0.15430139609076662,0.5272172746866487
43,0.0,P34,46,26.530612244898,0.5803570050115916,0.17278934951602376,0.6077539004530591
44,0.0,P35,61,33.0,0.5039368122028739,0.2064593133305824,0.7505698686093518
45,0.0,P36,52,15.0,0.7559766785540898,0.2188588763720495,0.6695554689486218
46,0.0,P39,50,11.2244897959184,0.8380251817508444,0.25770052783925695,0.9861499193173685
47,0.0,P41,48,10.0,0.47662470677486435,0.22883032421044755,0.7885609457256371
48,0.0,P42,51,7.0,0.6015403494083789,0.19473604224366314,0.4361836837474101
49,0.0,P43,61,13.6363636363636,0.3258370997305951,0.15401855429202407,0.5696015811938315
50,0.0,P44,38,22.0,0.4243604806878504,0.1607329914815582,0.5407821191457515
51,0.0,P45,36,20.0,0.7362916189587705,0.2788262479024395,0.9071481207595663
52,0.0,P46,60,17.1428571428571,0.9140940964770216,0.19345703213343116,0.6132424364145369
53,0.0,P47,69,27.0,0.5597861687800837,0.17781123182642988,0.6401615666778939
54,0.0,P48,47,18.367346938775498,0.31019313539414467,0.0806726646763633,0.2562002197727491
55,0.0,P50,26,10.7142857142857,0.2805984383806488,0.10346002217110922,0.34108725080668456
56,0.0,P51,37,22.0,0.8386732705942507,0.2454932724026647,0.8518634329100286
57,0.0,P52,27,14.0,0.4521128110356391,0.2445789054981519,0.9262797811507466
58,0.0,P53,35,17.0,0.6944285374507604,0.19865233115117018,0.7115506944027961
59,0.0,P54,41,16.0,0.6713003768209779,0.2487776547791993,0.7997601438703907
60,0.0,P55,49,11.0,0.4724158873292207,0.17024745129142813,0.6357807978070771
61,0.0,P56,73,23.0,0.41567012137392295,0.15254330854725198,0.5198511534913616
62,0.0,P57,90,16.0,0.5108536778080445,0.1786760224942215,0.6047943519620187
63,0.0,P58,99,14.285714285714299,0.8466610292326985,0.24016722227686335,0.8624202797678153
64,0.0,P59,49,25.0,0.6148265973554319,0.3082660367906645,0.949456656602661
65,0.0,P60,75,30.0,0.7151423120724818,0.26140792117724615,1.0153319975036699
66,0.0,P61,57,17.0,0.6662933689462843,0.04200939791771513,0.10268328535838356
67,0.0,P62,73,27.0,0.8295127284204483,0.3665759636754261,1.1602890179134038
68,0.0,P63,67,17.0,0.6685197453995283,0.2104629758334211,0.7576617475398304
69,0.0,P64,48,12.0,0.5769828232360447,0.1267378658664809,0.44147613499666083
70,0.0,P65,56,32.0,0.7278501610980505,0.18158349282431097,0.6058971847458838
71,0.0,P66,83,11.904761904761902,0.68420050537617,0.18660402476317436,0.7711740321747391
72,0.0,P67,64,9.0,0.6477540066671473,0.23841170357221675,0.8558504153104121
73,0.0,P68,70,20.0,0.7195427154233077,0.2580864842731842,0.96952011248213
74,0.0,P70,65,15.0,0.7926777726166125,0.21581534023624083,0.8648691893573761
75,0.0,P71,56,11.0,0.6588659793576859,0.24712022158910843,0.8626513445240898
76,0.0,P72,50,15.0,0.6252181282320187,0.15975651713943306,0.49177273801759
77,0.0,P73,76,19.0,0.8124640614233957,0.20291057042394522,0.7854269035561878
