,age_group,image_url,pic_class,pic_type,layer,age,aq,dist
2323,2,P117_image-3_type-S_class-C.JPG,class-C,type-S,3,42,20.0,0.8118595088153145
2324,2,P117_image-4_type-I_class-H.JPG,class-H,type-I,3,42,20.0,0.42505617870773504
2325,2,P117_image-5_type-O_class-C.JPG,class-C,type-O,3,42,20.0,0.6571903758651833
2326,2,P117_image-6_type-I_class-M.JPG,class-M,type-I,3,42,20.0,0.10660844136096337
2327,1,P119_image-1_type-S_class-F.JPG,class-F,type-S,3,38,12.0,0.8579124443245871
2328,1,P119_image-2_type-O_class-H.JPG,class-H,type-O,3,38,12.0,0.5660404460694415
2329,1,P119_image-3_type-I_class-F.JPG,class-F,type-I,3,38,12.0,0.49175281583209096
2330,1,P119_image-4_type-I_class-C.JPG,class-C,type-I,3,38,12.0,0.15483369463930807
2331,1,P119_image-5_type-O_class-M.JPG,class-M,type-O,3,38,12.0,0.04200878818326226
2332,1,P119_image-6_type-S_class-H.JPG,class-H,type-S,3,38,12.0,0.42062312588590245
2333,2,P120_image-1_type-O_class-M.JPG,class-M,type-O,3,59,15.0,0.04857130119978392
2334,2,P120_image-2_type-I_class-F.JPG,class-F,type-I,3,59,15.0,0.6681488720308506
2335,2,P120_image-3_type-S_class-H.JPG,class-H,type-S,3,59,15.0,0.46426978587589507
2336,2,P120_image-4_type-I_class-H.JPG,class-H,type-I,3,59,15.0,0.26880543639066434
2337,2,P120_image-5_type-S_class-M.JPG,class-M,type-S,3,59,15.0,0.4087520738947177
2338,2,P120_image-6_type-O_class-C.JPG,class-C,type-O,3,59,15.0,0.058658382699609435
2339,3,P121_image-1_type-I_class-H.JPG,class-H,type-I,3,66,-1.0,0.3064466855505147
2340,3,P121_image-2_type-O_class-F.JPG,class-F,type-O,3,66,-1.0,0.21646170735130055
2341,3,P121_image-4_type-O_class-C.JPG,class-C,type-O,3,66,-1.0,0.021932545939968073
2342,3,P121_image-5_type-I_class-M.JPG,class-M,type-I,3,66,-1.0,0.09699139627389719
2343,3,P121_image-6_type-S_class-C.JPG,class-C,type-S,3,66,-1.0,0.09110521544475747
2344,4,P11_image-1_type-I_class-M.JPG,class-M,type-I,3,94,34.6938775510204,0.2765595336922857
2345,4,P11_image-2_type-O_class-H.JPG,class-H,type-O,3,94,34.6938775510204,0.7650635049634287
2346,4,P11_image-4_type-O_class-F.JPG,class-F,type-O,3,94,34.6938775510204,0.28688821100144324
