,style,layer,dist
372,1,2,0.07803850434911219
373,1,2,0.17478550976432317
374,1,2,0.11822377519135607
375,1,2,0.43588704190183836
376,1,2,0.3322986000876794
377,1,2,0.29392094996801743
378,1,2,0.7871781754301744
379,1,2,0.7394857088653426
380,1,2,0.31590762904787806
381,1,2,0.4931519388197787
382,1,2,0.25205177383795807
383,1,2,0.18866041933898525
384,1,2,0.6860161612008724
385,1,2,0.49626291309922865
386,1,2,0.41132903625154604
387,1,2,0.06457296719691685
388,1,2,0.5729931759641378
389,1,2,0.42766409532147653
390,1,2,0.8013704251851604
391,1,2,0.5848903548194913
392,1,2,0.04668848179969398
393,1,2,0.10147809483252801
394,1,2,0.36229149870726096
395,1,2,0.042554707537490244
396,1,2,0.4969042113760658
397,1,2,0.16080991788452093
398,1,2,0.08347794914130091
399,1,2,0.5651076952153855
400,1,2,0.267817639201242
401,1,2,0.3173472867924987
402,1,2,0.08770421202719925
403,1,2,0.23917314833541903
404,1,2,0.495916739339897
405,1,2,0.1539510426689713
406,1,2,0.09203967329955243
407,1,2,0.17305373964129112
408,1,2,0.5637643820977807
409,1,2,0.38198032115430225
410,1,2,0.06875287130172769
411,1,2,0.3642065203058289
412,1,3,0.031963353758912794
413,1,3,0.6195563520443381
414,1,3,0.7534646516801939
415,1,3,0.0867924955577033
416,1,3,0.05846954734610588
417,1,3,0.3051327262001029
418,1,3,0.19222086994485
419,1,3,0.6505187866500521
420,1,3,1.1577526158066456
421,1,3,0.10196289884578247
422,1,3,0.4244464948346145
423,1,3,0.051452572496621385
424,1,3,0.31096970225319187
425,1,3,1.238073170038784
426,1,3,0.15164260436935517
427,1,3,0.04129493829736752
428,1,3,0.7346197335164568
429,1,3,1.4023747341754738
430,1,3,0.19327341807604292
431,1,3,0.05217181471911758
432,1,3,0.02062964290625935
433,1,3,0.5638994110629352
434,1,3,0.12021357369642394
435,1,3,0.3777766429293751
436,1,3,0.059791224433247914
437,1,3,0.3180943386973454
438,1,3,0.7618463441475338
439,1,3,0.24117121771323013
440,1,3,0.7037091795192436
441,1,3,0.08484494639266105
442,1,3,0.02830446779244511
443,1,3,0.5884799837833906
444,1,3,0.10211426802437207
445,1,3,0.5245503082761759
446,1,3,0.0930635625588141
447,1,3,0.07686478046093348
448,1,3,0.08337861341570707
449,1,3,0.09719744228002081
450,1,3,1.3917557602667876
451,1,3,0.37041572658085686
452,1,3,0.5008154607799702
453,1,3,0.6168973616187472
454,1,3,0.5406316543805657
455,1,3,0.03190651510112874
456,1,3,0.47032542982212433
457,1,3,0.45483807157108724
458,1,3,0.02799792779070609
459,1,3,0.5789890613783125
460,1,3,0.034706397778401454
461,1,3,1.2657055958319512
462,1,3,0.16912497402918758
463,1,3,1.5011019088583084
464,1,3,0.5506553055010848
465,1,3,0.036490194193422254
466,1,3,0.44281491863483713
467,1,3,0.24245609246825306
468,1,3,0.2270274161474911
469,1,3,1.2342303419011982
470,1,3,0.3064963384107223
471,1,3,0.3681708213431424
472,1,3,0.5756969225341055
473,1,3,0.7604221029024864
474,1,3,1.5162058219458185
475,1,3,0.11101123837956384
476,1,3,0.5415408750595535
477,1,3,0.6732673146653152
478,1,3,0.08061332154993972
479,1,3,0.22607079990144674
480,1,3,0.13215288829680316
481,1,3,0.1751514862059147
482,1,3,1.1134588186948398
483,1,3,0.24163723050566643
484,1,3,1.0111370898185528
485,1,3,0.07218358493119692
486,1,3,0.13417675245524396
487,1,3,0.4772169566316199
488,1,3,0.0931955526405217
489,1,3,0.5439576090360031
490,1,3,0.1387144599651745
491,1,3,0.09512564347875885
492,1,3,0.709999735386107
493,1,3,0.3587478418842789
494,1,3,0.27163063016697475
495,1,3,0.13425938050966935
496,1,3,0.746289290690086
497,1,3,1.4526311549189246
498,1,3,0.24394573859731106
499,1,3,0.2920835655347849
