"","Child","X","layer","age","aq","scoreByMean","scoreByStd","scoreByMaxmin","MeanCompl","MeanMeaning","MeanTracing","MeanColoring","MeanScribble"
"65","P59",64,0,49,25,0.614826597355432,0.308266036790664,0.949456656602661,49.7,65.4333333333333,19.5333333333333,72.8666666666667,25.3166666666667
"66","P60",65,0,75,30,0.715142312072482,0.261407921177246,1.01533199750367,54.0666666666667,62.3,23.3666666666667,30.1,24.7333333333333
"67","P61",66,0,57,17,0.666293368946284,0.0420093979177151,0.102683285358384,22.5714285714286,54.3571428571429,24.0714285714286,71.9285714285714,23.6428571428571
"68","P62",67,0,73,27,0.829512728420448,0.366575963675426,1.1602890179134,38.5,32.8709677419355,15.9677419354839,29.3225806451613,39.2258064516129
"69","P63",68,0,67,17,0.668519745399528,0.210462975833421,0.75766174753983,15.546875,64.03125,20.5625,90.90625,14.46875
"70","P64",69,0,48,12,0.576982823236045,0.126737865866481,0.441476134996661,19.65,46,19.5,42.7666666666667,28.3666666666667
"71","P65",70,0,56,32,0.72785016109805,0.181583492824311,0.605897184745884,50.25,60.9722222222222,16.8611111111111,28.7222222222222,28.0694444444444
"72","P66",71,0,83,11.9047619047619,0.68420050537617,0.186604024763174,0.771174032174739,53.9852941176471,69.4117647058823,12.6764705882353,47.3235294117647,16.4558823529412
"73","P67",72,0,64,9,0.647754006667147,0.238411703572217,0.855850415310412,55.7058823529412,76.2352941176471,13.8823529411765,13.8529411764706,14.1764705882353
"74","P68",73,0,70,20,0.719542715423308,0.258086484273184,0.96952011248213,70.46875,84.875,17,28.8125,9.921875
"75","P70",74,0,65,15,0.792677772616613,0.215815340236241,0.864869189357376,36.4090909090909,61.030303030303,13.3636363636364,43.3636363636364,20.2272727272727
"76","P71",75,0,56,11,0.658865979357686,0.247120221589108,0.86265134452409,64.9594594594595,65.027027027027,10.3513513513514,16.027027027027,21.1081081081081
"77","P72",76,0,50,15,0.625218128232019,0.159756517139433,0.49177273801759,15.0588235294118,48.7941176470588,18.3823529411765,80.9411764705882,18.8970588235294
"78","P73",77,0,76,19,0.812464061423396,0.202910570423945,0.785426903556188,54.1944444444444,69.9166666666667,14.1944444444444,40.9444444444444,18.4305555555556
"79","P74",78,0,63,23,0.53110515239949,0.0927884778601553,0.30634305239698,18.5857142857143,60.1428571428571,30,85,19.2714285714286
"80","P75",79,0,42,15.2173913043478,0.512499636832954,0.295530925354947,0.88593387578819,19.5694444444444,26.75,18.9722222222222,20,56.0277777777778
"81","P76",80,0,35,36,0.6199098653023,0.191259563595029,0.653822846332683,15.7857142857143,54.3714285714286,29.5142857142857,78.2285714285714,22.4
"82","P77",81,0,60,10,0.485090077090596,0.140349638356858,0.375397213299411,60.2666666666667,72.5666666666667,18.8333333333333,15.0333333333333,16.2166666666667
"83","P78",82,0,36,26.6666666666667,0.283611779556272,0.106139695030613,0.302395006415942,32.0416666666667,38.0833333333333,22.625,15,35.1875
"84","P79",83,0,39,24.4897959183673,0.420708722088444,0.166616837063089,0.629561651242801,10.8666666666667,13.6333333333333,6.06666666666667,32.5666666666667,63.05
"85","P8",84,0,31,20.4081632653061,0.564852693048024,0.254798640468155,0.879692709948304,26.5689655172414,25.5862068965517,17.6896551724138,18.2068965517241,47.1724137931034
"86","P80",85,0,82,6,0.693634558152549,0.259154877100919,0.796053804948295,65.8392857142857,84.3214285714286,12,15.25,10.6071428571429
"87","P81",86,0,59,19.3877551020408,0.592889999548383,0.180673339188944,0.611946886281302,30.1538461538462,64.0512820512821,15.8205128205128,66.5128205128205,14.8205128205128
"88","P82",87,0,78,23,0.616433178910678,0.217347184680026,0.688591040856956,59.8870967741936,77.1290322580645,10.4838709677419,13.1935483870968,9.09677419354839
"89","P83",88,0,74,17,0.419831609552203,0.201467301802236,0.800632874763776,49.390625,67.75,18.71875,43.6875,15.953125
"90","P84",89,0,38,21,0.773775164068092,0.212993100814841,0.782573686677696,33.1944444444444,36.6111111111111,15.0555555555556,13.1944444444444,40.2638888888889
"91","P85",90,0,80,19,0.617189420774138,0.198420207377785,0.639236267138192,65.8472222222222,79,17.1944444444444,29.6388888888889,15.6111111111111
"92","P86",91,0,49,16,0.517202418607581,0.201512544029,0.704184874656774,20.0735294117647,30.8529411764706,19.1176470588235,28.2352941176471,52.7205882352941
